Jerky_ID,Time,Temp,Humidity,Weight,fitted_weights
"15,4",0,21.5,35.4,1.0,0.9724642718918963
"15,4",0,21.6,34.1,0.9948320413436692,0.9699076282030581
"15,4",1,21.5,34.6,0.9896640826873385,0.9673642474497799
"15,4",2,21.5,34.8,0.9844961240310077,0.9648340608287864
"15,4",3,21.5,35.2,0.979328165374677,0.9623169998937284
"15,4",4,21.7,34.8,0.9767441860465116,0.959812996553332
"15,4",5,21.5,35.0,0.9741602067183462,0.957321983069555
"15,4",6,21.4,35.3,0.9689922480620154,0.9548438920557565
"15,4",7,21.4,35.4,0.9664082687338501,0.9523786564748724
"15,4",8,21.4,35.4,0.9612403100775194,0.9499262096376025
"15,4",9,21.3,35.4,0.958656330749354,0.9474864852006066
"15,4",10,21.5,35.0,0.9560723514211886,0.9450594171647091
"15,4",11,21.3,35.3,0.9509043927648578,0.9426449398731145
"15,4",12,21.2,35.3,0.9483204134366925,0.9402429880096308
"15,4",13,21.3,35.0,0.9457364341085271,0.9378534965969024
"15,4",14,21.2,35.0,0.9431524547803618,0.9354764009946527
"15,4",15,21.2,34.9,0.937984496124031,0.9331116368979351
"15,4",16,21.6,34.0,0.9354005167958657,0.9307591403353936
"15,4",17,21.1,34.7,0.9328165374677002,0.9284188476675327
"15,4",18,21.0,34.5,0.9276485788113695,0.926090695584995
"15,4",19,20.9,34.4,0.9250645994832042,0.9237746211068492
"15,4",20,20.8,34.3,0.9224806201550387,0.9214705615788857
"15,4",21,20.7,34.3,0.917312661498708,0.9191784546719228
"15,4",22,20.7,34.1,0.9147286821705426,0.9168982383801192
"15,4",23,20.6,34.1,0.9121447028423773,0.9146298510192978
"15,4",24,20.5,34.2,0.9069767441860465,0.9123732312252761
"15,4",25,20.4,34.2,0.9043927648578811,0.9101283179522069
"15,4",26,20.4,34.1,0.9018087855297158,0.9078950504709267
"15,4",27,20.3,34.2,0.8992248062015504,0.9056733683673124
"15,4",28,20.3,34.0,0.8940568475452196,0.9034632115406476
"15,4",29,20.2,34.2,0.8914728682170543,0.9012645202019964
"15,4",30,20.1,34.0,0.8888888888888888,0.8990772348725863
"15,4",31,20.2,34.2,0.8863049095607235,0.8969012963821987
"15,4",32,20.3,34.3,0.8837209302325582,0.8947366458675687
"15,4",33,20.5,34.1,0.8811369509043928,0.8925832247707927
"15,4",34,20.4,34.3,0.8785529715762274,0.8904409748377438
"15,4",35,20.3,34.6,0.875968992248062,0.8883098381164966
"15,4",36,20.3,34.7,0.8733850129198967,0.886189756955759
"15,4",37,20.3,34.9,0.8708010335917312,0.8840806740033129
"15,4",38,20.3,35.1,0.8682170542635659,0.8819825322044623
"15,4",39,20.4,35.2,0.8682170542635659,0.8798952748004907
"15,4",40,20.6,34.9,0.8656330749354005,0.8778188453271247
"15,4",41,20.4,35.4,0.8630490956072352,0.8757531876130071
"15,4",42,20.7,35.0,0.8604651162790697,0.8736982457781773
"15,4",43,20.4,38.4,0.8578811369509044,0.8716539642325594
"15,4",44,20.5,37.2,0.8578811369509044,0.8696202876744588
"15,4",45,20.5,36.9,0.8552971576227391,0.8675971610890655
"15,4",46,20.6,36.8,0.8527131782945736,0.8655845297469669
"15,4",47,20.6,37.1,0.8527131782945736,0.863582339202666
"15,4",48,20.6,36.9,0.8501291989664083,0.8615905352931097
"15,4",49,20.7,36.8,0.8475452196382429,0.8596090641362228
"15,4",50,20.8,37.1,0.8449612403100775,0.8576378721294509
"15,4",51,21.2,36.0,0.8449612403100775,0.8556769059483096
"15,4",52,20.8,37.0,0.8423772609819121,0.8537261125449431
"15,4",53,20.8,37.1,0.8397932816537468,0.8517854391466885
"15,4",54,20.9,37.1,0.8397932816537468,0.8498548332546476
"15,4",55,20.9,37.1,0.8372093023255814,0.847934242642268
"15,4",56,20.9,37.0,0.834625322997416,0.8460236153539293
"15,4",57,21.4,36.1,0.8320413436692506,0.844122899703538
"15,4",58,21.0,37.1,0.8320413436692506,0.8422320442731295
"15,4",59,20.9,37.2,0.8294573643410853,0.8403509979114763
"15,4",60,21.0,37.2,0.8268733850129198,0.838479709732705
"15,4",61,20.9,37.4,0.8268733850129198,0.83661812911492
"15,4",62,21.0,37.4,0.8242894056847545,0.8347662056988331
"15,4",63,21.0,37.2,0.8217054263565892,0.832923889386402
"15,4",64,21.0,37.6,0.8217054263565892,0.8310911303394748
"15,4",65,21.0,38.0,0.8191214470284238,0.8292678789784416
"15,4",66,21.0,38.1,0.8191214470284238,0.8274540859808934
"15,4",67,21.1,38.3,0.8165374677002584,0.8256497022802884
"15,4",68,21.1,38.4,0.813953488372093,0.8238546790646235
"15,4",69,21.2,38.4,0.813953488372093,0.8220689677751146
"15,4",70,21.1,38.7,0.8113695090439277,0.8202925201048833
"15,4",71,21.2,38.7,0.8087855297157622,0.8185252879976492
"15,4",72,21.2,38.9,0.8087855297157622,0.8167672236464306
"15,4",73,21.2,38.9,0.8062015503875969,0.8150182794922509
"15,4",74,21.2,38.8,0.8062015503875969,0.8132784082228524
"15,4",75,21.2,38.9,0.8036175710594315,0.8115475627714155
"15,4",76,21.2,39.0,0.8010335917312662,0.8098256963152868
"15,4",77,21.2,39.1,0.8010335917312662,0.8081127622747115
"15,4",78,21.2,39.0,0.7984496124031008,0.8064087143115736
"15,4",79,21.5,39.3,0.7958656330749354,0.8047135063281421
"15,4",80,21.9,38.1,0.7958656330749354,0.8030270924658248
"15,4",81,21.5,38.8,0.7958656330749354,0.8013494271039265
"15,4",82,21.5,39.2,0.7932816537467701,0.7996804648584162
"15,4",83,21.5,39.2,0.7932816537467701,0.798020160580698
"15,4",84,21.5,39.5,0.7906976744186046,0.796368469356391
"15,4",85,21.5,39.5,0.7881136950904393,0.7947253465041137
"15,4",86,22.1,38.4,0.7881136950904393,0.793090747574275
"15,4",87,21.6,39.5,0.7855297157622739,0.7914646283478722
"15,4",88,21.6,39.8,0.7855297157622739,0.7898469448352949
"15,4",89,21.6,40.3,0.7829457364341085,0.7882376532751346
"15,4",90,21.6,42.3,0.7829457364341085,0.786636710133001
"15,4",91,21.9,41.0,0.7829457364341085,0.7850440721003442
"15,4",92,22.4,42.4,0.7829457364341085,0.7834596960932838
"15,4",93,22.0,44.1,0.7829457364341085,0.781883539251442
"15,4",94,21.9,44.3,0.7803617571059431,0.7803155589367862
"15,4",95,21.8,44.0,0.7803617571059431,0.7787557127324731
"15,4",96,22.2,43.4,0.7777777777777778,0.7772039584417035
"15,4",97,22.4,43.3,0.7777777777777778,0.7756602540865793
"15,4",98,22.5,42.4,0.7777777777777778,0.7741245579069687
"15,4",99,22.5,43.9,0.7777777777777778,0.7725968283593759
"15,4",100,22.5,43.3,0.7751937984496124,0.771077024115818
"15,4",101,22.4,43.9,0.7751937984496124,0.7695651040627064
"15,4",102,22.4,43.8,0.772609819121447,0.7680610272997348
"15,4",103,22.4,43.9,0.772609819121447,0.7665647531387729
"15,4",104,22.4,43.9,0.772609819121447,0.7650762411027656
"15,4",105,22.4,43.9,0.7700258397932817,0.7635954509246379
"15,4",106,22.4,43.9,0.7700258397932817,0.7621223425462056
"15,4",107,22.5,43.4,0.7674418604651163,0.7606568761170919
"15,4",108,22.4,43.7,0.7674418604651163,0.7591990119936494
"15,4",109,23.0,42.1,0.7648578811369509,0.7577487107378873
"15,4",110,22.4,43.6,0.7648578811369509,0.7563059331164046
"15,4",111,22.4,43.3,0.7622739018087855,0.754870640099329
"15,4",112,22.3,43.4,0.7622739018087855,0.7534427928592613
"15,4",113,22.4,43.1,0.7596899224806202,0.7520223527702241
"15,4",114,22.3,42.9,0.7596899224806202,0.7506092814066178
"15,4",115,22.4,42.4,0.7571059431524548,0.7492035405421806
"15,4",116,22.2,42.6,0.7571059431524548,0.7478050921489553
"15,4",117,22.2,42.5,0.7545219638242894,0.7464138983962588
"15,4",118,22.2,42.3,0.7545219638242894,0.7450299216496608
"15,4",119,22.2,42.4,0.751937984496124,0.7436531244699638
"15,4",120,22.2,41.7,0.751937984496124,0.742283469612192
"15,4",121,22.6,40.6,0.7493540051679587,0.7409209200245828
"15,4",122,22.1,41.1,0.7467700258397932,0.7395654388475839
"15,4",123,22.0,40.9,0.7467700258397932,0.738216989412858
"15,4",124,21.9,40.6,0.7441860465116279,0.7368755352422889
"15,4",125,22.1,39.8,0.7416020671834626,0.7355410400469963
"15,4",126,22.2,39.7,0.7416020671834626,0.7342134677263528
"15,4",127,22.3,40.0,0.7390180878552972,0.7328927823670079
"15,4",128,22.1,40.1,0.7390180878552972,0.7315789482419173
"15,4",129,22.1,39.8,0.7364341085271318,0.7302719298093743
"15,4",130,22.1,39.6,0.7364341085271318,0.7289716917120506
