Jerky_ID,Time,Temp,Humidity,Weight
"15,1",0.0,21.5,35.4,1.0
"15,1",0.8655555555555555,21.6,34.1,0.9969788519637462
"15,1",1.8655555555555556,21.5,34.6,0.9939577039274925
"15,1",2.8655555555555554,21.5,34.8,0.9909365558912386
"15,1",3.8655555555555554,21.5,35.2,0.9879154078549849
"15,1",4.865555555555556,21.7,34.8,0.9848942598187311
"15,1",5.865555555555556,21.5,35.0,0.9818731117824774
"15,1",6.865555555555556,21.4,35.3,0.9788519637462235
"15,1",7.865555555555556,21.4,35.4,0.9773413897280967
"15,1",8.865555555555556,21.4,35.4,0.974320241691843
"15,1",9.865555555555556,21.3,35.4,0.9712990936555891
"15,1",10.865555555555556,21.5,35.0,0.9682779456193353
"15,1",11.865555555555556,21.3,35.3,0.9667673716012085
"15,1",12.865555555555556,21.2,35.3,0.9637462235649547
"15,1",13.865555555555556,21.3,35.0,0.9607250755287009
"15,1",14.865555555555556,21.2,35.0,0.9577039274924471
"15,1",15.865555555555556,21.2,34.9,0.9561933534743202
"15,1",16.865555555555556,21.6,34.0,0.9531722054380665
"15,1",17.866666666666667,21.1,34.7,0.9516616314199395
"15,1",18.865555555555556,21.0,34.5,0.9486404833836858
"15,1",19.865555555555556,20.9,34.4,0.945619335347432
"15,1",20.865555555555556,20.8,34.3,0.9425981873111783
"15,1",21.865555555555556,20.7,34.3,0.9410876132930514
"15,1",22.865555555555556,20.7,34.1,0.9380664652567976
"15,1",23.865555555555556,20.6,34.1,0.9350453172205438
"15,1",24.865555555555556,20.5,34.2,0.93202416918429
"15,1",25.865555555555556,20.4,34.2,0.9305135951661632
"15,1",26.865555555555556,20.4,34.1,0.9274924471299094
"15,1",27.865555555555556,20.3,34.2,0.9244712990936556
"15,1",28.865555555555556,20.3,34.0,0.9229607250755287
"15,1",29.865555555555556,20.2,34.2,0.9199395770392749
"15,1",30.865555555555556,20.1,34.0,0.918429003021148
"15,1",31.865555555555556,20.2,34.2,0.9154078549848943
"15,1",32.86555555555555,20.3,34.3,0.9138972809667674
"15,1",33.86555555555555,20.5,34.1,0.9108761329305136
"15,1",34.86555555555555,20.4,34.3,0.9093655589123867
"15,1",35.86555555555555,20.3,34.6,0.9063444108761329
"15,1",36.86555555555555,20.3,34.7,0.904833836858006
"15,1",37.86555555555555,20.3,34.9,0.9018126888217523
"15,1",38.86555555555555,20.3,35.1,0.9003021148036254
"15,1",39.86555555555555,20.4,35.2,0.8987915407854985
"15,1",40.86555555555555,20.6,34.9,0.8957703927492447
"15,1",41.86555555555555,20.4,35.4,0.8942598187311178
"15,1",42.86555555555555,20.7,35.0,0.8927492447129909
"15,1",43.86555555555555,20.4,38.4,0.8897280966767371
"15,1",44.86555555555555,20.5,37.2,0.8882175226586103
"15,1",45.86555555555555,20.5,36.9,0.8867069486404834
"15,1",46.86555555555555,20.6,36.8,0.8851963746223565
"15,1",47.86555555555555,20.6,37.1,0.8821752265861027
"15,1",48.86555555555555,20.6,36.9,0.8806646525679759
"15,1",49.86555555555555,20.7,36.8,0.879154078549849
"15,1",50.86555555555555,20.8,37.1,0.877643504531722
"15,1",51.86555555555555,21.2,36.0,0.8761329305135952
"15,1",52.86555555555555,20.8,37.0,0.8746223564954683
"15,1",53.86555555555555,20.8,37.1,0.8716012084592145
"15,1",54.86555555555555,20.9,37.1,0.8700906344410876
"15,1",55.86555555555555,20.9,37.1,0.8685800604229608
"15,1",56.86555555555555,20.9,37.0,0.8670694864048338
"15,1",57.86555555555555,21.4,36.1,0.8655589123867069
"15,1",58.86555555555555,21.0,37.1,0.8640483383685801
"15,1",59.86555555555555,20.9,37.2,0.8625377643504532
"15,1",60.86555555555555,21.0,37.2,0.8610271903323263
"15,1",61.86555555555555,20.9,37.4,0.8595166163141994
"15,1",62.86555555555555,21.0,37.4,0.8564954682779456
"15,1",63.86555555555555,21.0,37.2,0.8549848942598187
"15,1",64.86555555555556,21.0,37.6,0.8534743202416919
"15,1",65.86666666666666,21.0,38.0,0.851963746223565
"15,1",66.86555555555556,21.0,38.1,0.850453172205438
"15,1",67.86555555555556,21.1,38.3,0.8489425981873112
"15,1",68.86555555555556,21.1,38.4,0.8474320241691843
"15,1",69.86555555555556,21.2,38.4,0.8459214501510574
"15,1",70.86555555555556,21.1,38.7,0.8444108761329305
"15,1",71.86555555555556,21.2,38.7,0.8429003021148036
"15,1",72.86555555555556,21.2,38.9,0.8413897280966768
"15,1",73.86555555555556,21.2,38.9,0.8398791540785498
"15,1",74.86555555555556,21.2,38.8,0.8383685800604229
"15,1",75.86555555555556,21.2,38.9,0.8368580060422961
"15,1",76.86555555555556,21.2,39.0,0.8353474320241692
"15,1",77.86555555555556,21.2,39.1,0.8338368580060423
"15,1",78.86555555555556,21.2,39.0,0.8323262839879154
"15,1",79.86555555555556,21.5,39.3,0.8308157099697885
"15,1",80.86555555555556,21.9,38.1,0.8293051359516617
"15,1",81.86555555555556,21.5,38.8,0.8277945619335347
"15,1",82.86555555555556,21.5,39.2,0.8262839879154078
"15,1",83.86555555555556,21.5,39.2,0.824773413897281
"15,1",84.86555555555556,21.5,39.5,0.824773413897281
"15,1",85.86555555555556,21.5,39.5,0.8217522658610272
"15,1",86.86555555555556,22.1,38.4,0.8217522658610272
"15,1",87.86555555555556,21.6,39.5,0.8202416918429003
"15,1",88.86555555555556,21.6,39.8,0.8187311178247734
"15,1",89.86555555555556,21.6,40.3,0.8172205438066465
"15,1",90.86555555555556,21.6,42.3,0.8157099697885196
"15,1",91.86555555555556,21.9,41.0,0.8141993957703928
