Jerky_ID,Unix_time_Stamp,Date,Temp,Humidity,Weight_4
"0,4",1674574200.0,2023-01-24 15:30:00,22.1,30.7,516.0
"0,4",1674576000.0,2023-01-24 16:00:00,22.1,29.1,512.0
"0,4",1674577800.0,2023-01-24 16:30:00,21.1,29.6,509.0
"0,4",1674579600.0,2023-01-24 17:00:00,20.6,29.8,506.0
"0,4",1674581400.0,2023-01-24 17:30:00,20.2,30.5,504.0
"0,4",1674583200.0,2023-01-24 18:00:00,20.4,30.1,502.0
"0,4",1674585000.0,2023-01-24 18:30:00,20.1,30.3,500.0
"0,4",1674586800.0,2023-01-24 19:00:00,20.2,30.1,498.0
"0,4",1674588600.0,2023-01-24 19:30:00,19.9,30.5,496.0
"0,4",1674590400.0,2023-01-24 20:00:00,20.0,30.3,494.0
"0,4",1674592200.0,2023-01-24 20:30:00,20.0,30.2,493.0
"0,4",1674594000.0,2023-01-24 21:00:00,19.8,30.5,491.0
"0,4",1674595800.0,2023-01-24 21:30:00,19.6,30.5,489.0
"0,4",1674597600.0,2023-01-24 22:00:00,20.0,30.0,488.0
"0,4",1674599400.0,2023-01-24 22:30:00,20.0,29.9,486.0
"0,4",1674601200.0,2023-01-24 23:00:00,20.0,29.9,485.0
"0,4",1674603000.0,2023-01-24 23:30:00,19.7,30.3,483.0
"0,4",1674604800.0,2023-01-25 00:00:00,19.799999999999997,29.950000000000003,481.5
"0,4",1674606600.0,2023-01-25 00:30:00,19.9,29.6,480.0
"0,4",1674608400.0,2023-01-25 01:00:00,19.5,30.2,478.0
"0,4",1674610200.0,2023-01-25 01:30:00,19.5,30.0,477.0
"0,4",1674612000.0,2023-01-25 02:00:00,19.3,30.4,475.0
"0,4",1674613800.0,2023-01-25 02:30:00,19.2,30.2,474.0
"0,4",1674615600.0,2023-01-25 03:00:00,19.1,30.1,472.0
"0,4",1674617400.0,2023-01-25 03:30:00,19.0,30.1,471.0
"0,4",1674619200.0,2023-01-25 04:00:00,19.0,29.9,469.0
"0,4",1674621000.0,2023-01-25 04:30:00,18.9,29.9,468.0
"0,4",1674622800.0,2023-01-25 05:00:00,18.9,29.5,466.0
"0,4",1674624600.0,2023-01-25 05:30:00,18.7,29.8,465.0
"0,4",1674626400.0,2023-01-25 06:00:00,18.7,29.6,464.0
"0,4",1674628200.0,2023-01-25 06:30:00,18.7,29.5,462.0
"0,4",1674630000.0,2023-01-25 07:00:00,19.0,29.0,461.0
"0,4",1674631800.0,2023-01-25 07:30:00,18.7,29.4,460.0
"0,4",1674633600.0,2023-01-25 08:00:00,18.9,29.1,459.0
"0,4",1674635400.0,2023-01-25 08:30:00,19.0,29.0,457.0
